Province,Region,Year,Birthrate,Education_Fund
Yunnan,Southwest China,2015,12.88,10455388
Tibet,Southwest China,2015,15.75,1919434
Shaanxi,Northwest China,2015,10.1,9674438
Gansu,Northwest China,2015,12.36,6134547
Qinghai,Northwest China,2015,14.72,2073501
Ningxia,Northwest China,2015,12.62,1963258
Xinjiang,Northwest China,2015,15.59,7132774
Beijing,North China,2014,9.75,10937374
Tianjin,North China,2014,8.19,6326265
Hebei,North China,2014,13.18,10861672
Shanxi,North China,2014,10.92,7036233
Inner Mongolia,North China,2014,9.31,6393778
Liaoning,Northeast China,2014,6.49,8700533
Jilin,Northeast China,2014,6.62,5353180
Heilongjiang,Northeast China,2014,7.37,6278812
Shanghai,East China,2014,8.35,9892212
Jiangsu,East China,2014,9.45,20800931
Zhejiang,East China,2014,10.51,16079755
Anhui,East China,2014,12.86,10457811
Fujian,East China,2014,13.7,8928771
Jiangxi,East China,2014,13.24,8930127
Shandong,East China,2014,14.23,18847752
Henan,South Central China,2014,12.8,16385611
Hubei,South Central China,2014,11.86,9874547
Hunan,South Central China,2014,13.52,11285463
Guangdong,South Central China,2014,10.8,27356552
Guangxi,South Central China,2014,14.07,8586224
Hainan,South Central China,2014,14.56,2413904
Chongqing,Southwest China,2014,10.67,6979973
Sichuan,Southwest China,2014,10.22,14508458
Guizhou,Southwest China,2014,12.98,7700061
Yunnan,Southwest China,2014,12.65,9199396
Tibet,Southwest China,2014,15.76,1529504
Shaanxi,Northwest China,2014,10.13,9101672
Gansu,Northwest China,2014,12.21,5181631
Qinghai,Northwest China,2014,14.67,1976886
Ningxia,Northwest China,2014,13.1,1697964
Xinjiang,Northwest China,2014,16.44,6349792
Beijing,North China,2013,8.93,9998366
Tianjin,North China,2013,8.28,5699615
Hebei,North China,2013,13.04,10298143
Shanxi,North China,2013,10.81,6918247
Inner Mongolia,North China,2013,8.98,6121559
Liaoning,Northeast China,2013,6.09,9302062
Jilin,Northeast China,2013,5.36,5480347
Heilongjiang,Northeast China,2013,6.86,6006258
Shanghai,East China,2013,8.18,9069715
Jiangsu,East China,2013,9.44,19862835
Zhejiang,East China,2013,10.01,14490439
Anhui,East China,2013,12.88,10413043
Fujian,East China,2013,12.2,8228012
Jiangxi,East China,2013,13.19,8284996
Shandong,East China,2013,11.41,17796161
Henan,South Central China,2013,12.27,15577127
Hubei,South Central China,2013,11.08,8972278
Hunan,South Central China,2013,13.5,10784551
Guangdong,South Central China,2013,10.71,24775503
Guangxi,South Central China,2013,14.28,7794191
Hainan,South Central China,2013,14.59,2222868
Chongqing,Southwest China,2013,10.37,6565622
Sichuan,Southwest China,2013,9.9,13805525
Guizhou,Southwest China,2013,13.05,6799795
Yunnan,Southwest China,2013,12.6,9006912
Tibet,Southwest China,2013,15.77,1206744
Shaanxi,Northwest China,2013,10.01,8926920
Gansu,Northwest China,2013,12.16,4811034
Qinghai,Northwest China,2013,14.16,1569408
Ningxia,Northwest China,2013,13.12,1578935
Xinjiang,Northwest China,2013,15.84,5989856
Beijing,North China,2011,8.29,7373843
Tianjin,North China,2011,8.58,4136097
Hebei,North China,2011,13.02,8447882
Shanxi,North China,2011,10.47,5494903
Inner Mongolia,North China,2011,8.94,5040005
Liaoning,Northeast China,2011,5.71,7809413
Jilin,Northeast China,2011,6.53,4293877
Heilongjiang,Northeast China,2011,6.99,4838173
Shanghai,East China,2011,6.97,7106255
Jiangsu,East China,2011,9.59,15882132
Zhejiang,East China,2011,9.47,12069078
Anhui,East China,2011,12.23,8172010
Fujian,East China,2011,11.41,6344839
Jiangxi,East China,2011,13.48,6307866
Shandong,East China,2011,11.5,13727939
Henan,South Central China,2011,11.56,11821418
Hubei,South Central China,2011,10.39,6844038
Hunan,South Central China,2011,13.35,7987607
Guangdong,South Central China,2011,10.45,18846365
Guangxi,South Central China,2011,13.71,5938482
Hainan,South Central China,2011,14.72,1732237
Chongqing,Southwest China,2011,9.88,5039550
Sichuan,Southwest China,2011,9.79,10244130
Guizhou,Southwest China,2011,13.31,4510531
Yunnan,Southwest China,2011,12.71,6582935
Tibet,Southwest China,2011,15.39,826102
Shaanxi,Northwest China,2011,9.75,6838342
Gansu,Northwest China,2011,12.08,3608174
Qinghai,Northwest China,2011,14.43,1552462
Ningxia,Northwest China,2011,13.65,1313862
Xinjiang,Northwest China,2011,14.99,4605867
Beijing,North China,2010,7.48,6134448
Tianjin,North China,2010,8.18,2920970
Hebei,North China,2010,13.22,7192734
Shanxi,North China,2010,10.68,4508195
Inner Mongolia,North China,2010,9.3,4143731
Liaoning,Northeast China,2010,6.68,6242615
Jilin,Northeast China,2010,7.91,3445611
Heilongjiang,Northeast China,2010,7.35,4048565
Shanghai,East China,2010,7.05,5582736
Jiangsu,East China,2010,9.73,13146233
Zhejiang,East China,2010,10.27,10625688
Anhui,East China,2010,12.7,5990868
Fujian,East China,2010,11.27,5341118
Jiangxi,East China,2010,13.72,4494597
Shandong,East China,2010,11.65,10395900
Henan,South Central China,2010,11.52,9111164
Hubei,South Central China,2010,10.36,5869164
Hunan,South Central China,2010,13.1,6497608
Guangdong,South Central China,2010,11.18,15327348
Guangxi,South Central China,2010,14.13,4941416
Hainan,South Central China,2010,14.71,1422673
Chongqing,Southwest China,2010,9.17,4068437
Sichuan,Southwest China,2010,8.93,8951781
Guizhou,Southwest China,2010,13.96,3669550
Yunnan,Southwest China,2010,13.1,5336317
Tibet,Southwest China,2010,15.8,662293
Shaanxi,Northwest China,2010,9.73,5143635
Gansu,Northwest China,2010,12.05,3106736
Qinghai,Northwest China,2010,14.94,1062206
Ningxia,Northwest China,2010,14.14,994671
Xinjiang,Northwest China,2010,15.99,3655998
Beijing,North China,2009,8.06,5289432
Tianjin,North China,2009,8.3,2381672
Hebei,North China,2009,12.93,6145261
Shanxi,North China,2009,10.87,3809096
Inner Mongolia,North China,2009,9.57,3187733
Liaoning,Northeast China,2009,6.06,5349184
Jilin,Northeast China,2009,6.69,3006988
Heilongjiang,Northeast China,2009,7.48,3486163
Shanghai,East China,2009,8.64,4937339
Jiangsu,East China,2009,9.55,11054890
Zhejiang,East China,2009,10.22,8911507
Anhui,East China,2009,13.07,4873316
Fujian,East China,2009,12.2,4479126
Jiangxi,East China,2009,13.87,3776516
Shandong,East China,2009,11.7,8397429
Henan,South Central China,2009,11.45,7633496
Hubei,South Central China,2009,9.48,5194495
Hunan,South Central China,2009,13.05,5660684
Guangdong,South Central China,2009,11.78,12843085
Guangxi,South Central China,2009,14.17,3873253
Hainan,South Central China,2009,14.66,1175474
Chongqing,Southwest China,2009,9.9,3309977
Sichuan,Southwest China,2009,9.15,8088479
Guizhou,Southwest China,2009,13.65,3094113
Yunnan,Southwest China,2009,12.53,4408081
Tibet,Southwest China,2009,15.31,597448
Shaanxi,Northwest China,2009,10.24,4637457
Gansu,Northwest China,2009,13.32,2761110
Qinghai,Northwest China,2009,14.51,785820
Ningxia,Northwest China,2009,14.38,813071
Xinjiang,Northwest China,2009,15.99,2959264
Beijing,North China,2008,8.17,4690166
Tianjin,North China,2008,8.13,2060843
Hebei,North China,2008,13.04,5584914
Shanxi,North China,2008,11.32,3328404
Inner Mongolia,North China,2008,9.81,2625527
Liaoning,Northeast China,2008,6.32,4792311
Jilin,Northeast China,2008,6.65,2714195
Heilongjiang,Northeast China,2008,7.91,3386551
Shanghai,East China,2008,8.89,4823026
Jiangsu,East China,2008,9.34,9964272
Zhejiang,East China,2008,10.2,7972834
Anhui,East China,2008,13.05,4383732
Fujian,East China,2008,12.2,3898541
Jiangxi,East China,2008,13.92,3333171
Shandong,East China,2008,11.25,7749148
Henan,South Central China,2008,11.42,6561523
Hubei,South Central China,2008,9.21,4519593
Hunan,South Central China,2008,12.68,5066050
Guangdong,South Central China,2008,11.8,11661554
Guangxi,South Central China,2008,14.4,3476223
Hainan,South Central China,2008,14.71,928981
Chongqing,Southwest China,2008,10.1,2662580
Sichuan,Southwest China,2008,9.54,6578338
Guizhou,Southwest China,2008,13.49,2709138
Yunnan,Southwest China,2008,12.63,3422932
Tibet,Southwest China,2008,15.5,494122
Shaanxi,Northwest China,2008,10.29,3806168
Gansu,Northwest China,2008,13.22,2310200
Qinghai,Northwest China,2008,14.49,608034
Ningxia,Northwest China,2008,14.31,702612
Xinjiang,Northwest China,2008,16.05,2501661
Beijing,North China,2007,8.32,4077284
Tianjin,North China,2007,7.91,1657108
Hebei,North China,2007,13.33,4403700
Shanxi,North China,2007,11.3,2649876
Inner Mongolia,North China,2007,10.21,2019987
Liaoning,Northeast China,2007,6.89,4122455
Jilin,Northeast China,2007,7.55,2133095
Heilongjiang,Northeast China,2007,7.88,2736590
Shanghai,East China,2007,9.07,4318320
Jiangsu,East China,2007,9.37,8513327
Zhejiang,East China,2007,10.38,7058575
Anhui,East China,2007,12.75,3451326
Fujian,East China,2007,11.9,3322233
Jiangxi,East China,2007,13.86,2850048
Shandong,East China,2007,11.11,6802414
Henan,South Central China,2007,11.26,5493997
Hubei,South Central China,2007,9.19,3689008
Hunan,South Central China,2007,11.96,4196365
Guangdong,South Central China,2007,11.96,10734751
Guangxi,South Central China,2007,14.19,2758915
Hainan,South Central China,2007,14.62,757981
Chongqing,Southwest China,2007,10.1,2309734
