Province,Region,Year,Birthrate
Gansu,Northwest China,2014,12.21
Qinghai,Northwest China,2014,14.67
Ningxia,Northwest China,2014,13.1
Xinjiang,Northwest China,2014,16.44
Beijing,North China,2013,8.93
Tianjin,North China,2013,8.28
Hebei,North China,2013,13.04
Shanxi,North China,2013,10.81
Inner Mongolia,North China,2013,8.98
Liaoning,Northeast China,2013,6.09
Jilin,Northeast China,2013,5.36
Heilongjiang,Northeast China,2013,6.86
Shanghai,East China,2013,8.18
Jiangsu,East China,2013,9.44
Zhejiang,East China,2013,10.01
Anhui,East China,2013,12.88
Fujian,East China,2013,12.2
Jiangxi,East China,2013,13.19
Shandong,East China,2013,11.41
Henan,South Central China,2013,12.27
Hubei,South Central China,2013,11.08
Hunan,South Central China,2013,13.5
Guangdong,South Central China,2013,10.71
Guangxi,South Central China,2013,14.28
Hainan,South Central China,2013,14.59
Chongqing,Southwest China,2013,10.37
Sichuan,Southwest China,2013,9.9
Guizhou,Southwest China,2013,13.05
Yunnan,Southwest China,2013,12.6
Tibet,Southwest China,2013,15.77
Shaanxi,Northwest China,2013,10.01
Gansu,Northwest China,2013,12.16
Qinghai,Northwest China,2013,14.16
Ningxia,Northwest China,2013,13.12
Xinjiang,Northwest China,2013,15.84
Beijing,North China,2012,9.05
Tianjin,North China,2012,8.75
Hebei,North China,2012,12.88
Shanxi,North China,2012,10.7
Inner Mongolia,North China,2012,9.17
Liaoning,Northeast China,2012,6.15
Jilin,Northeast China,2012,5.73
Heilongjiang,Northeast China,2012,7.3
Shanghai,East China,2012,9.56
Jiangsu,East China,2012,9.44
Zhejiang,East China,2012,10.12
Anhui,East China,2012,13
Fujian,East China,2012,12.74
Jiangxi,East China,2012,13.46
Shandong,East China,2012,11.9
Henan,South Central China,2012,11.87
Hubei,South Central China,2012,11
Hunan,South Central China,2012,13.58
Guangdong,South Central China,2012,11.6
Guangxi,South Central China,2012,14.2
Hainan,South Central China,2012,14.66
Chongqing,Southwest China,2012,10.86
Sichuan,Southwest China,2012,9.89
Guizhou,Southwest China,2012,13.27
Yunnan,Southwest China,2012,12.63
Tibet,Southwest China,2012,15.48
Shaanxi,Northwest China,2012,10.12
Gansu,Northwest China,2012,12.11
Qinghai,Northwest China,2012,14.3
Ningxia,Northwest China,2012,13.26
Xinjiang,Northwest China,2012,15.32
Beijing,North China,2011,8.29
