Province,Region,Year,Birthrate,Wage,GRP,CPI
Chongqing,Southwest China,2016,11.77,67386,110.7,101.8
Sichuan,Southwest China,2016,10.48,65781,107.8,101.9
Guizhou,Southwest China,2016,13.43,69678,110.5,101.4
Yunnan,Southwest China,2016,13.16,63562,108.7,101.5
Tibet,Southwest China,2016,15.79,110330,110.1,102.5
Shaanxi,Northwest China,2016,10.64,61626,107.5,101.3
Gansu,Northwest China,2016,12.18,59549,107.6,101.3
Qinghai,Northwest China,2016,14.7,67451,107.8,101.8
Ningxia,Northwest China,2016,13.69,67830,107.4,101.5
Xinjiang,Northwest China,2016,15.34,64630,107.5,101.4
Beijing,North China,2015,7.96,113073,106.9,101.8
Tianjin,North China,2015,5.84,81486,106.9,101.7
Hebei,North China,2015,11.35,52409,106.8,100.9
Shanxi,North China,2015,9.98,52960,103,100.6
Inner Mongolia,North China,2015,7.72,57870,107.7,101.1
Liaoning,Northeast China,2015,6.17,53458,102.8,101.4
Jilin,Northeast China,2015,5.87,52927,106.1,101.7
Heilongjiang,Northeast China,2015,6,51241,105.4,101.1
Shanghai,East China,2015,7.52,109279,107,102.4
Jiangsu,East China,2015,9.05,67200,108.6,101.7
Zhejiang,East China,2015,10.52,67707,108,101.4
Anhui,East China,2015,12.92,56974,108.7,101.3
Fujian,East China,2015,13.9,58719,108.9,101.7
Jiangxi,East China,2015,13.2,52137,109.1,101.5
Shandong,East China,2015,12.55,58197,107.8,101.2
Henan,South Central China,2015,12.7,45920,108.4,101.3
Hubei,South Central China,2015,10.74,55237,108.6,101.5
Hunan,South Central China,2015,13.58,53889,108.5,101.4
Guangdong,South Central China,2015,11.12,66296,108,101.5
Guangxi,South Central China,2015,14.05,54983,107.9,101.5
Hainan,South Central China,2015,14.57,58406,107.8,101
Chongqing,Southwest China,2015,11.05,62091,111,101.3
Sichuan,Southwest China,2015,10.3,60520,107.9,101.5
Guizhou,Southwest China,2015,13,62591,110.7,101.8
Yunnan,Southwest China,2015,12.88,55025,108.7,101.9
Tibet,Southwest China,2015,15.75,110980,111,102
Shaanxi,Northwest China,2015,10.1,56896,107.7,101
Gansu,Northwest China,2015,12.36,54454,108.2,101.6
Qinghai,Northwest China,2015,14.72,61868,108.2,102.6
Ningxia,Northwest China,2015,12.62,62482,108,101.1
Xinjiang,Northwest China,2015,15.59,60914,108.8,100.6
Beijing,North China,2014,9.75,103400,107.4,101.6
Tianjin,North China,2014,8.19,73839,107.5,101.9
Hebei,North China,2014,13.18,46239,106.5,101.7
Shanxi,North China,2014,10.92,49984,104.9,101.7
Inner Mongolia,North China,2014,9.31,54460,107.8,101.6
