Province,Region,Year,Birthrate,Wage,GRP,CPI
Qinghai,Northwest China,2004,16.32,17229,111.3,103.2
Ningxia,Northwest China,2004,15.97,14620,110.2,103.7
Xinjiang,Northwest China,2004,16,14484,111.4,102.7
Beijing,North China,2003,5.1,25312,111.1,100.2
Tianjin,North China,2003,7.14,18648,112.3,101
Hebei,North China,2003,11.43,11189,108.4,102.2
Shanxi,North China,2003,12.26,10729,111.9,101.8
Inner Mongolia,North China,2003,9.24,11279,116.3,102.2
Liaoning,Northeast China,2003,6.9,13008,108.9,101.7
Jilin,Northeast China,2003,7.25,11081,109.2,101.2
Heilongjiang,Northeast China,2003,7.48,11038,109.8,100.9
Shanghai,East China,2003,4.85,27304,112.3,100.1
Jiangsu,East China,2003,9.04,15712,113.6,101
Zhejiang,East China,2003,9.66,21367,114.7,101.9
Anhui,East China,2003,11.15,10581,109.4,101.7
Fujian,East China,2003,11.43,14310,111.5,100.8
Jiangxi,East China,2003,14.07,10521,113,100.8
Shandong,East China,2003,11.42,12567,110.8,101.1
Henan,South Central China,2003,12.1,10749,110.9,101.6
Hubei,South Central China,2003,8.26,10692,109.7,102.2
Hunan,South Central China,2003,11.82,12221,109.6,102.4
Guangdong,South Central China,2003,13.66,19986,114.8,100.6
Guangxi,South Central China,2003,13.86,11953,109.1,101.1
Hainan,South Central China,2003,14.68,10397,110.6,100.1
Chongqing,Southwest China,2003,9.89,12425,111.7,100.6
Sichuan,Southwest China,2003,9.18,12441,111,101.7
Guizhou,Southwest China,2003,15.91,11037,110.1,101.2
Yunnan,Southwest China,2003,17,12870,108.8,101.2
Tibet,Southwest China,2003,17.4,26931,112,100.9
Shaanxi,Northwest China,2003,10.67,11461,111.8,101.7
Gansu,Northwest China,2003,12.58,12307,111.3,101.1
Qinghai,Northwest China,2003,16.94,15356,110.9,102
Ningxia,Northwest China,2003,15.68,12981,111.7,101.7
Xinjiang,Northwest China,2003,16.01,13255,111.2,100.4
Beijing,North China,2002,6.6,21852,111.8,98.2
Tianjin,North China,2002,7.49,16258,110.2,99.6
Hebei,North China,2002,11.53,10032,109.5,99
Shanxi,North China,2002,12.86,9357,112.9,98.4
Inner Mongolia,North China,2002,9.6,9683,113.2,100.2
Liaoning,Northeast China,2002,7.38,11659,110.2,98.9
Jilin,Northeast China,2002,8.3,9990,107,99.5
Heilongjiang,Northeast China,2002,7.98,9926,109.9,99.3
Shanghai,East China,2002,5.41,23959,111.4,100.5
Jiangsu,East China,2002,9.17,13509,111.7,99.2
Zhejiang,East China,2002,9.98,18785,112.7,99.1
Anhui,East China,2002,11.2,9296,109.9,99
Fujian,East China,2002,11.35,13306,110.2,99.5
Jiangxi,East China,2002,14.74,9262,110.5,100.1
Shandong,East China,2002,11.17,11374,111,99.3
Henan,South Central China,2002,12.41,9174,109.1,100.1
Hubei,South Central China,2002,8.38,9611,109.2,99.6
Hunan,South Central China,2002,11.56,10967,109,99.5
Guangdong,South Central China,2002,13.29,17184,112.4,98.6
Guangxi,South Central China,2002,13.3,10074,110.6,99.1
Hainan,South Central China,2002,15.2,9480,109.6,99.5
Chongqing,Southwest China,2002,9.36,10960,110.5,99.6
Sichuan,Southwest China,2002,10.44,11183,110.5,99.7
Guizhou,Southwest China,2002,17.96,9810,109.1,99
Yunnan,Southwest China,2002,17.9,11987,109,99.8
Tibet,Southwest China,2002,18.83,24766,112.9,100.4
Shaanxi,Northwest China,2002,10.48,10351,111.1,98.9
Gansu,Northwest China,2002,13.16,11147,109.9,100
Qinghai,Northwest China,2002,18.05,14472,112.1,102.3
Ningxia,Northwest China,2002,16.42,11640,110.2,99.4
Xinjiang,Northwest China,2002,16.3,11605,108.2,99.4
Beijing,North China,2001,6.1,19155,111.8,103.1
Tianjin,North China,2001,7.58,14308,109.6,101.2
Hebei,North China,2001,11.16,8730,108.7,100.5
Shanxi,North China,2001,13.06,8122,110.1,99.8
Inner Mongolia,North China,2001,10.77,8250,110.7,100.6
Liaoning,Northeast China,2001,7.74,10145,109,100
Jilin,Northeast China,2001,8.76,8771,108.4,101.3
Heilongjiang,Northeast China,2001,8.48,8910,108.9,100.8
Shanghai,East China,2001,5.02,21781,110.5,100
Jiangsu,East China,2001,9.03,11842,110.2,100.8
Zhejiang,East China,2001,10.02,16385,110.7,99.8
Anhui,East China,2001,12.46,7908,109.2,100.5
Fujian,East China,2001,11.56,12013,108.7,98.7
Jiangxi,East China,2001,15.44,8026,108.8,99.5
Shandong,East China,2001,11.12,10008,109.4,101.8
Henan,South Central China,2001,13.2,7916,108.7,100.7
Hubei,South Central China,2001,8.51,8619,108.9,100.3
Hunan,South Central China,2001,11.8,9623,109,99.1
Guangdong,South Central China,2001,13.95,15682,110.5,99.3
Guangxi,South Central China,2001,13.8,9075,108.3,100.6
Hainan,South Central China,2001,15.23,8321,109.1,98.5
Chongqing,Southwest China,2001,9.7,9523,109.2,101.7
Sichuan,Southwest China,2001,11.16,9934,109,102.1
Guizhou,Southwest China,2001,18.56,8991,108.8,101.8
Yunnan,Southwest China,2001,18.51,10537,106.8,99.1
Tibet,Southwest China,2001,18.6,19144,112.7,100.1
Shaanxi,Northwest China,2001,10.5,9120,109.8,101
Gansu,Northwest China,2001,13.58,9949,109.8,104
Qinghai,Northwest China,2001,19.06,12906,111.7,102.6
Ningxia,Northwest China,2001,16.55,10442,110.1,101.6
Xinjiang,Northwest China,2001,16.82,10278,108.6,104
